fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
9a131cdb64587749f7 BCA929C981CC0C7E1BC031A95DDD6F3AA999603E,87,93,93,93,93,93,93,93,93,93,84,84,105,105,105,105,105,105,92,92,87,87,87,87
ABCVG 1A020A414D8AB25F54415C8C1E75A5562A9DD9A6,11800,11800,11800,11700,11900,11800,11700,11600,11600,11500,11500,11500,11500,11500,11600,11600,11700,11000,11000,11000,11000,11000,11000,11000
ACAbeehive C4F0E2F67DC6D3B9FDFA895361F649B8E99774DD,2200,2290,2280,2260,2230,2210,2200,2200,2170,2170,2160,2170,2170,2170,2170,2180,2190,2200,1930,1930,1940,1950,1990,1990
ADEL ABF554C44C97825F46B1C9DEE14A2E2B62025D7E,1170,1170,1170,1030,1030,1030,1030,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970,970
ADKP FEAAE9BAC8B6747BBC3A14D9E9AC3924A0FDE3A7,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
AEtherC0r3 080BBF9B14454976FDEAD1AD620A04388F5A21F8,2340,2340,2570,2550,2600,2600,2600,2600,2600,2600,2400,2400,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
AFistfulofOnions AA1C729BA8B846930D53580822A81F6C38432C00,3340,3340,3340,3400,4590,4570,3910,3830,3810,3810,3820,3810,3840,3850,3870,3870,3890,3930,3950,3500,3500,3500,3500,3500
AIKO CE3FE883C6C9EF475EA097DC3E33A6F32B852DA1,104000,104000,103000,103000,103000,110000,120000,120000,120000,120000,138000,139000,139000,120000,120000,120000,120000,120000,120000,102000,103000,103000,103000,104000
AITUK AD8673D4703E01D768E91382DB7E9C795C683C26,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,13,14,13,13,13,13,13,13
AIgeneratedPostcard FAC70E0E2B41FF5DB186708D13C06985CCC116E3,260,260,260,260,474,474,474,474,474,474,474,474,474,474,474,474,474,408,408,408,408,408,408,408
ALBANIX 8C42FC1876E51D5C8DE6372C7B7AD595F95E6DC0,217,217,217,217,217,217,217,217,175,175,175,175,160,160,160,160,160,160,160,160,160,160,160,160
ALF2 C3B5C9391E36631ABEA89A19C24750DBDFF7CEC8,14000,14000,14000,14000,14000,13700,13700,13900,13900,13900,13900,13900,13900,13900,13900,13900,13900,13900,13700,13700,13700,13700,13700,13700
AMBROOS D8E4BB7FED74D267829CF3BD45F82C809A5D3792,7400,7400,7400,7400,7400,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,7600,7600,7600,7210,7230,7260,7270,7310
AMDmi3x1 6B9D83843DBD686DBB8066989BFCC90303F67B05,2300,2800,2790,2300,3040,3040,3040,3010,2990,2990,3000,2300,2300,2300,2300,2300,2300,2300,2100,2000,2000,2000,2000,2000
ANDREI 31E1E56350E97C7FD5952529ECFDFB58685B0712,5700,5700,5700,5700,5700,5700,5700,5700,6270,6260,6250,6260,6260,6280,6280,6310,6120,6140,6140,6450,6470,6490,6500,6540
ANormalDay 725BDB38752AB86CC9F204AC9857C29306BBE2D6,8530,8500,8550,8500,8500,8500,8500,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8480
ASock 5099AA94537F2ECEB5E4F2B05E142BEC138076DA,67,67,67,67,67,67,67,67,67,67,67,67,67,62,62,62,62,62,62,62,62,56,56,56
ATLANTIS A6BBD33695A4E3C4545BA370605A4DCD87D98BEE,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6870,6900,6910,6940,6920,6950,6970,6980,7020,7080,7090,6870,6870,7600
ATZv5 12CF6DB4DAE106206D6C6B09988E865C0509843B,48300,48300,48200,49000,47700,47500,47200,46900,46600,46300,46300,46300,46300,46300,46500,45700,46000,46300,46400,46700,47000,47000,47000,47000
ATo 0C2C599AFCB26F5CFC2C7592435924C1D63D9484,29800,29800,29700,29400,29100,28800,28500,28300,28200,28200,28200,28200,28200,28300,27000,27000,27000,27000,27000,30000,30300,28200,28400,28500
AUEBTor 457D6035A953805B82D2A9933EDE3A0EA4B675FE,6800,6380,6370,6150,6080,6010,6010,6010,6010,6010,6010,5700,5700,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
AZUREPHOENIX 1FA4520950EFCA5233BEFB9290EA42690BEC9339,14200,14200,14200,14200,14200,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
AaronKSQC1 D8B16FB9CDFF228C03B1A628B3B45620F93E320A,5230,5250,5240,5230,5210,5300,5250,5180,5000,5700,5700,5700,5700,5700,5700,5700,5700,5290,5100,5100,5100,5100,5100,5100
AaronOVHSG1 5C8A60F3F936C1FCD64D9ACFBCFF898E51A4D179,1020,1020,1020,1020,1020,1020,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220
Abigail 5D4856CF4419267C45A58CD09624929D787399D2,8010,8010,8010,8010,9020,9020,9020,9020,9020,9020,9020,9020,9020,9020,9020,9020,9020,8700,8700,8500,9020,9020,9020,9020
AbseitsTOR 422599B1E863D2A6990966F2B43F82DE094A8652,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
AcMNPVTorBox 5AA2AC373D132E21F11BFF99167AF92BF1CB7C41,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
Access AF2D21CFF2E910F55D2B7DCE1382C1FB5B22D0E5,20000,20000,20000,20000,20500,20000,20000,20000,20000,20000,20000,20000,20400,20400,20400,20500,20500,20500,20500,20500,20500,20500,20500,20500
AccessNow000 4273E6D162ED2717A1CF4207A254004CD3F5307B,52000,52000,52000,52000,52000,53100,53100,53100,53100,53100,53100,53100,53100,53100,53100,61000,61000,56000,56000,56000,56000,56000,56000,56000
AccessNow001 3C5915348D731505C48112F4F03235FDE7B8C837,22000,22000,22000,22000,22000,22000,22000,22000,22000,18000,18000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
AccessNow002 6290A2D08E5EB89C809223C5C7BF52597690751D,18000,18000,18000,18000,18000,18000,18000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,29800,29800,29800,29800,29800,29800
AccessNow003 2DFDEA5DD415B95594BFB12D59FE841167F94B5F,26000,26000,26000,26000,26000,26000,30300,30300,30300,30300,26000,26000,26000,26000,21400,21400,21400,21400,21400,21400,21400,21400,21400,21400
