fingerprint,mean_bw
poussin 42D58335381BC9BB8C9ED98D390109EB74DBCBC4,26654.719045368627
CalyxInstitute12 B34CC9056250847D1980F08285B01CF0B718C0B6,26595.043557025838
FabulousMonkey 95FCD71974985F8CB546821E3DC4D834794F77F9,26578.344833018273
niftybephomet C0E7334A181184ABD07698D04ADC19E15E3EE184,26506.647605545055
mortimerAtx EC0ABA811E4EB33DAD8BC8B7037D862BF4F3AA28,26328.62413358538
FallingoutofFour 3D76AB27AC2F4318E2FC0490AF9E68F44C5D5876,26269.741493383743
nodvrelay21 19C38081249BC20F4F404018603DB11A0A0AD8A0,26266.1190926276
Faraday A8610EDC749A3818A3D5325419B35483B4DEBF45,26254.422495274106
AccessNow002 6290A2D08E5EB89C809223C5C7BF52597690751D,26236.23976055451
CalyxInstitute09 7761DDC7EB1BE26D4155F74A15F12C32A36FE0F2,26206.908947700063
nodvrelay27 4E32B7EC95E3A819E2BB499D0506532457DE9E04,26193.17816635161
niftyalloumyraion B4DD1F46C6E5B43D9654FF56BD32333D6586E536,26002.18801197227
CalyxInstitute05 3329E736CCA16449D02D567D42683BF1FD798676,25966.71920289855
Precious2 D8380E08DEDF6C90A09EC378D1F6C1881EF79476,25944.661153119097
arbitraryKenzie2 FA1845C313B88EF49E8BE1F23B02CD0AC702B636,25915.14256458727
Alastor 2EB3C230180694A1E848001E20F36F76A2287039,25852.295998739755
FissionEx2 460E5B882770C19761BC5747541913DB2AD01E35,25818.774889729055
AccessNow003 2DFDEA5DD415B95594BFB12D59FE841167F94B5F,25815.91052299937
Piratenpartei02 856B7EFB7E09D02A29DD2FF024B7E1EFE21FE9EB,25795.454631379962
DFRI5 185663B7C12777F052B2C2D23D7A239D8DA88A0F,25721.9484089477
CalyxInstitute13 A7C7EB2A0DFB2E3FFFC12B7756707433DD550F9E,25673.596723377443
TORRelay01 4662D9EA74DB5A20B8957EF9DB60848685C3A872,25655.52110901071
nodvrelay30 E0AE7C1CE4F44ADF4D90E9CADAD08D0A5CBFC3D0,25609.62334593572
behrmann C2C2B839F4CFFA5F7B7A40CB0BE84F7D948CB510,25574.340422180212
Camel 67BC1B5AE7D44E3E9F5F9089DBAAEAC28B3510C8,25554.9604599874
niftydemogorgon F21760E63FE2BB45629BB14FCDB0FD677485DAF8,25544.410995589158
Dibbelabbes2 95695F123AE4BCB4B86E6441F642C91EABA64C56,25330.303323881537
Fission06 91E7CA6B8D0AAD77C7CFB8FEA25BF4F46DA1042A,25268.525519848772
CalyxInstitute14 0011BD2485AD45D984EC4159C88FC066E5E3300E,25263.329867674856
Fission09 98138DFD3E2C8C89D8F5AB11EF9B6BFF272D83B4,25211.606805293006
idideditTheconfig 6B062B0FDFEAC3C6F9203FB9584451E295574DAD,25124.232199117836
ULayerDrake D0681DAAABC320310B8616951D6C19F69F778A6F,25102.166824196593
niftyblythsvole E013CC98CCC1E6AFDCFC9681A53DC2DEFE5D4CCC,25101.908553875237
Ephemeral 0540D870AD4E6F27B68ADF3F809F925E700D182D,25055.274495904217
TheWindyOnion 89094DFA4158C7A1583EC3A332CDCBC74A28CC0E,25004.599795211092
nodvrelay19 A77DF729A51A51D390C9EC68BB5F8607DF52C7DD,24991.089634530566
DigiGesTor1e1 0111BA9B604669E636FFD5B503F382A4B7AD6E80,24903.41934467549
nodebyCyper 71CA0A8C3435BF48D1FB964240EFC079636DBE5D,24808.96841524889
AccessNow001 3C5915348D731505C48112F4F03235FDE7B8C837,24753.15469439193
8rijgto8 8404E8B8AAB98208FAEFB1727B637133AD9C6FAF,24700.256695022053
Piratenpartei2 F592C2250162163068D08ADFFEB42D4C56E4965D,24678.26756458727
AccessNow005 B0DD527BE01842D46030265FBD9928217A709F28,24675.875078764966
8lyWARGTU4wesrfy8i 0882440874034AFBE2FBF16463A290F3278E24F7,24652.321124763705
king 87A1AA45C622CB2C46C55A950FEAF8BEB894F554,24604.78402646503
Hermes 0ED4CA8A8E6CE2D28D6D23B20815AE3982646FCB,24602.669974795215
GMoney B68A2E030E0092C4ED37D1CA6286CCDF1458AFD1,24584.11357908003
AcMNPVTorBox 5AA2AC373D132E21F11BFF99167AF92BF1CB7C41,24577.945022054188
Fission10 438DC9B6B5C5375D332BB338D7E5C1B9EF448960,24527.31293320731
GoodfellowTorRelay 138ED47EE2156E6492FDE0B61338D973C9717F32,24483.7438563327
CalyxInstitute20 673C081A9502D5D3AB9395FF4257274BE4C7A8A4,24483.310255198492
Piratenpartei01 163303F0583A1917326214379BD1AB2D286046EA,24465.20935727788
UDunGoofed 89FBE21A6801292CFDE8E37D360814616229C561,24453.257010081914
nodvrelay32 2AF943529BAA7CEC939271F24A931892AAD709C3,24451.082073093887
DerrickJensen E0023AC14180112A2FFF00A84C6049862BB3E6C3,24433.4625078765
otto A1699AF5D7E0294E45D42FFA697F762BA26340E9,24184.143431001896
Eutaxy 2377F415AC24BC6CE01C1E00E1F5E850AF28402D,24114.86129489603
TORB EABB390323F80D4457BAA5CEEE511455700E929D,24072.816083805923
HappyJap A8BFE1E65C6DC3C7A50F8DFA0BF57F0A118144A5,24040.573093887833
node01 D53AE170BF6650A2C6640484FE1B5DD1C0AB895B,24032.642643352232
TangeNLV 63C6AB74A5C288C2159DDC783BB00F88AB44427C,24027.441083805923
0x112B6D0 1FC89C159EA0F96D52D8A7092BF938C509DB6984,23982.610270951478
TORtitan 13B2354C74CCE29815B4E1F692F2F0E86C7F13DD,23965.11806868305
rainbowland 876C7CE43774366250D3E768E690DAB9D4B5D5A3,23900.318210459987
DigiGesTor3e1 9AA3FF35E7A549D2337E962333D366E102FE4D50,23897.44691241336
Piratenpartei3 D907BCD0B9510C462EEB0688FD5421CD2E172B77,23885.16855702584
ULayerButler 3CFAD0798FF5D3B994F40B8971D4A79D84165A0D,23741.402410207946
CryoFuel D88AFAF960D98A0BBB6027FDB3F9C277D941F74A,23730.65540327662
URKIGOM 69122296D37FC7D338753E3EC19BC666A10566A1,23654.707939508502
TPRSVM01 6BC9996C0132F861100E901027C6622E493F7954,23625.91099558917
Fission08 53134D9637D9FBE565FA1E3AF82B23CC964C56D6,23598.034183994958
1blupowered 070229A4CC2CFFB24EB667298A7DB5E8D11EB701,23582.34168241966
extrastarch 05499507DA8B381370E0858A784C3AFE13DC927F,23574.038437303094
nody 6B1EDC39F89D8B550ADAAE8A1FE0E5EC1514F1A5,23573.516698172654
FUCKuNSA 592AA3671D140157D20DA72FDAFAB00DFDF3542F,23563.108853182108
DidItLateButNow42 843C4F774DA2653DADBA5B847A33CC646995F6A1,23523.98479836169
TorRelayOfRio A33573C935B34CD07D988E774819DF0D30359F8B,23520.61578449905
F3Netze C0AEABA1B55519FE5384AA44D0312BE98216DA71,23509.59018588532
LordNikon 8B9B72D9613E1B674A17DAA6A11FE336C3427191,23432.240390674226
scator CCF28BC8FB26C8C172DEE741702056914D2849BD,23302.08238815375
king AFC186ADE87809929B6A0CEF7B5F8B7FB6BACC76,23274.64697542533
550af08a A50EDE9B5D7B417AE7CDFFE8B4EE7E0150007266,23247.907057340894
PonTor 9F1FA6BA0C2033320D02B34BE069764F267411D9,23199.580655324517
DigiGesTor3e2 311A4533F7A2415F42346A6C8FA77E6FD279594C,23189.674543163204
PoopyTheChinchilla 1AD4C27CDC6680A6A97B657CA6E2793A6376645D,23126.010160680533
AccessNow000 4273E6D162ED2717A1CF4207A254004CD3F5307B,23122.388626339005
CalyxInstitute03 84D361B736A8CD1E8818D0FC186892E91AB76881,23044.09955891619
