fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
ACAbeehive C4F0E2F67DC6D3B9FDFA895361F649B8E99774DD,2190,1700,2190,1700,1700,1700,1700,1700,1700,1700,1700,1900,1900,2700,2700,1900,2710,1900,1900,1900,2730,1900,1900
ADEL ABF554C44C97825F46B1C9DEE14A2E2B62025D7E,1600,1600,1600,1600,1600,1600,1600,1600,1640,1500,1500,1500,1500,1500,1500,1500,1310,1310,1310,1310,1310,1310,1310
AEtherC0r3 080BBF9B14454976FDEAD1AD620A04388F5A21F8,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1770,1770,1600,1770,1600,1500,1500,1500,1580,1580
AFistfulofOnions AA1C729BA8B846930D53580822A81F6C38432C00,2800,2800,2800,2800,2800,2800,2800,2800,2800,2650,2650,2660,2800,2800,2800,2680,2690,2700,2710,2720,2730,2400,2400
AHOJ 401DC570F501F859F1381E9B0484608AF7BA97AC,11,10,11,10,10,10,10,10,10,10,10,10,10,14,14,10,14,10,10,10,14,10,10
AITUK AD8673D4703E01D768E91382DB7E9C795C683C26,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,11,13,11,11,11,13,11,11
AIgeneratedPostcard FAC70E0E2B41FF5DB186708D13C06985CCC116E3,260,230,260,230,230,230,230,230,230,246,246,246,246,250,250,246,250,246,246,246,250,246,246
ALBANIX 8C42FC1876E51D5C8DE6372C7B7AD595F95E6DC0,337,320,337,320,320,320,320,320,320,320,320,320,320,662,662,320,662,320,320,489,540,489,512
ALF2 C3B5C9391E36631ABEA89A19C24750DBDFF7CEC8,13500,13000,13500,13000,13000,13000,13000,13000,13000,13000,13400,13400,13400,14000,14000,13400,14000,13400,13400,13400,14000,12800,12800
AMBROOS D8E4BB7FED74D267829CF3BD45F82C809A5D3792,6500,6070,6500,6050,6040,6500,6500,5890,5850,5850,5850,5850,5850,6860,6870,5840,6930,5880,5880,5900,7000,6560,6560
AMDmi3x1 6B9D83843DBD686DBB8066989BFCC90303F67B05,2600,2510,2530,2510,2500,2500,2490,2490,2470,2470,2360,2370,2370,2600,2600,2300,2600,2480,2490,2500,2600,2510,2510
ANormalDay 725BDB38752AB86CC9F204AC9857C29306BBE2D6,1750,1200,1400,1200,1200,1200,1100,1100,1000,1000,1000,1000,1000,1000,1000,1200,1230,1200,1200,1200,1230,1200,1200
ARCNetWork 7E47D28F07443B57F8262E1412936B3E258694A3,7660,7600,7660,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7630,7630,7600,7630,7600,7630,7630,7900,7630,7630
ASock 5099AA94537F2ECEB5E4F2B05E142BEC138076DA,130,120,130,120,120,120,110,129,115,115,115,115,115,130,130,115,130,115,115,115,130,115,115
ATLANTIS A6BBD33695A4E3C4545BA370605A4DCD87D98BEE,4750,4700,5090,4700,4700,4700,4610,4610,4590,4700,4700,4700,4700,5600,5610,4700,6370,4700,4000,4000,6490,4000,4000
ATRinRO 4F9BE3A549730D4B5705E1B89D637CA824A57DA1,815,810,1080,920,920,920,920,910,920,920,920,920,920,926,926,920,926,810,810,810,920,810,810
ATZv5 12CF6DB4DAE106206D6C6B09988E865C0509843B,52500,52600,53000,52100,53000,53000,53000,53000,49000,49000,49000,49000,49000,52000,52000,51000,51000,48000,49000,49000,51000,48000,48000
ATo 0C2C599AFCB26F5CFC2C7592435924C1D63D9484,12300,12300,12300,12200,12200,12100,12100,12100,12000,12000,12000,12000,12000,12000,15300,15300,15300,15400,15400,15400,15500,15500,15500
AUEBTor 457D6035A953805B82D2A9933EDE3A0EA4B675FE,6560,6400,7090,6400,6400,6400,6400,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,5700,5710,5730,5750,4600,4600
AZUREPHOENIX 1FA4520950EFCA5233BEFB9290EA42690BEC9339,13000,11400,14000,11400,11400,11400,11400,11400,11400,11400,11400,11400,11400,14000,14000,11400,14000,11400,12100,12100,14000,13000,13000
AaronKSQC1 D8B16FB9CDFF228C03B1A628B3B45620F93E320A,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
AaronOVHSG1 5C8A60F3F936C1FCD64D9ACFBCFF898E51A4D179,895,750,895,750,750,750,750,750,750,750,750,750,750,895,895,750,762,750,750,750,1030,750,750
Aarsdala 17ABA734572DBB1050CF3800F0DD145BAE7ED9A7,11000,11000,11000,11000,11000,11000,11000,11000,12200,12300,12300,12300,12300,12300,12300,12400,12400,12500,12500,12600,12600,12700,12700
